STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        555;19231001;19231031;    5;   -999;   151.0;-999;-999;eor
        555;19231101;19231130;    5;   -999;    64.0;-999;-999;eor
        555;19231201;19231231;    5;   -999;    64.0;-999;-999;eor
        555;19240101;19240131;    5;   -999;    31.0;-999;-999;eor
        555;19240201;19240229;    5;   -999;    50.0;-999;-999;eor
        555;19240301;19240331;    5;   -999;    32.0;-999;-999;eor
        555;19240401;19240430;    5;   -999;    75.0;-999;-999;eor
        555;19240501;19240531;    5;   -999;    71.0;-999;-999;eor
        555;19240601;19240630;    5;   -999;    52.0;-999;-999;eor
        555;19240701;19240731;    5;   -999;   108.0;-999;-999;eor
        555;19240801;19240831;    5;   -999;   237.0;-999;-999;eor
        555;19240901;19240930;    5;   -999;   115.0;-999;-999;eor
        555;19241001;19241031;    5;   -999;    41.0;-999;-999;eor
        555;19241101;19241130;    5;   -999;    40.0;-999;-999;eor
        555;19241201;19241231;    5;   -999;    45.0;-999;-999;eor
        555;19250101;19250131;    5;   -999;   127.0;-999;-999;eor
        555;19250201;19250228;    5;   -999;    61.0;-999;-999;eor
        555;19250301;19250331;    5;   -999;    71.0;-999;-999;eor
        555;19250401;19250430;    5;   -999;    44.0;-999;-999;eor
        555;19250501;19250531;    5;   -999;    82.0;-999;-999;eor
        555;19250601;19250630;    5;   -999;    48.0;-999;-999;eor
        555;19250701;19250731;    5;   -999;    39.0;-999;-999;eor
        555;19250801;19250831;    5;   -999;    55.0;-999;-999;eor
        555;19250901;19250930;    5;   -999;   149.0;-999;-999;eor
        555;19251001;19251031;    5;   -999;    50.0;-999;-999;eor
        555;19251101;19251130;    5;   -999;    68.0;-999;-999;eor
        555;19251201;19251231;    5;   -999;   117.0;-999;-999;eor
        555;19260101;19260131;    5;   -999;    86.0;-999;-999;eor
        555;19260201;19260228;    5;   -999;   114.0;-999;-999;eor
        555;19260301;19260331;    5;   -999;    65.0;-999;-999;eor
        555;19260401;19260430;    5;   -999;    33.0;-999;-999;eor
        555;19260501;19260531;    5;   -999;   104.0;-999;-999;eor
        555;19260601;19260630;    5;   -999;    87.0;-999;-999;eor
